Object Name,Latitude,Longitude
CALSPHERE 1,-33.43925443218526,-131.81958892919528
OPS 5798 DEB,-32.368343373639036,50.769090274438575
CALSPHERE 2,84.03352636264756,49.183488869882666
OPS 5798 DEB,-12.640570803032544,46.453261749216246
SCOUT X-4 R/B,71.73954558874547,152.07345822160414
EXPLORER 25 (INJUN-4),-74.80902197243157,-2.187939992933839
SCOUT X-4 R/B,17.49798555773585,30.803326580517883
THOR ABLESTAR R/B,-77.11592240996683,38.578552446526025
THOR ABLESTAR DEB,70.38278052538861,-148.7358033972507
OPS 6582 (TRANSIT 5E-5),-25.60230146178763,-143.048494394653
EXPLORER 26 (EPE-D),16.768617827100815,-16.16502188401181
OPS 6582 (TRANSIT 5B-5),-47.53931830208226,41.80164222839973
THOR ABLESTAR DEB,70.79281566998797,-147.20884462360922
SCOUT X-4 DEB,-0.5945195683087354,41.44219878891644
SCOUT X-4 DEB,3.5378253661997663,50.82947799473302
TIROS 9,-67.90686553415888,155.5612468425491
DELTA 1 R/B,7.37871409810207,-134.9702325127857
TITAN 3A DEB (TRUSS),32.24920263847945,-112.63231826844138
TITAN 3A TRANSTAGE R/B,-25.756172346513356,-171.6134163700355
LES 1,-18.65918818247781,70.9119243514577
THOR ABLESTAR DEB,50.06797815078137,20.626050605034926
SECOR 3,53.26765016341062,74.97059194216766
GGSE 2,16.77674685192828,-137.2168789961702
THOR AGENA D R/B,-66.73354998983399,-140.87712963902575
OPS 4988 (GREB 6),47.5748811762657,48.782480218516326
PORCUPINE 1,-10.784088819201502,93.46787551836807
SOLRAD 7B,39.27767871849804,-109.0550045552862
GGSE 3,-34.16026087074542,-148.4572044593892
OSCAR 3,44.20828933684227,35.890423429815606
DELTA 1 DEB,-9.30999087871504,168.66953782915493
DELTA 1 DEB,-14.102128235223763,169.95035008777444
OPS 4682 (SNAPSHOT),75.14989610922322,-33.30436184096948
SECOR 4 (EGRS 4),71.85256611372427,-22.645610007145166
OPS 4682 DEB,-26.939768848416065,-11.756255535402268
INTELSAT 1-F1,-0.2959526331685995,-76.28834070458424
DELTA 1 R/B(2),-14.607337148474768,-59.79800739285843
EXPLORER 27,22.688537609657253,157.1237396778169
SL-8 DEB,10.192060189492018,-134.54506613964915
SCOUT X-4 R/B,-9.234569703393491,154.766863597466
TITAN 3A TRANSTAGE R/B,29.3175359771151,175.53297406127268
